tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Gemma,32000,Basque,eus,2.544,3.063,1798.6463675498962,3896094623,499999531,1272018889
Gemma,32000,Code,c++,3.892,2.852,294.36571073532104,554859434,49992022,194553188
Gemma,32000,Code,javascript,6.149,2.632,465.3707675933838,809294040,49999987,307459955
Gemma,32000,Code,python,3.74,3.16,314.2725100517273,590864751,49999990,186982280
Gemma,32000,Code,tex,3.537,2.742,259.5569894313812,484856401,49995100,176816165
Gemma,32000,English,Europarl.en,1.175,5.126,226.7859287261963,339370705,56334280,66199515
Gemma,32000,English,Wikipedia.en,1.622,3.395,1547.838186264038,2753108852,499999890,810958739
Gemma,32000,French,Europarl.fr,1.41,4.546,232.0304775238037,338630065,52845204,74492491
Gemma,32000,French,Wikipedia.fr,1.781,3.17,1506.242298603058,2823112420,499999927,890493609
Gemma,32000,German,Europarl.de,1.49,4.865,226.4965229034424,326931605,45108933,67207400
Gemma,32000,German,Wikipedia.de,1.907,3.439,1724.938457250595,3278956474,499999919,953479937
Gemma,32000,Italian,Wikipedia.it,1.787,3.191,1511.998164653778,2851639813,499999419,893549801
Gemma,32000,Spanish,Europarl.es,1.27,4.878,220.73746848106384,324518110,52369273,66524630
Gemma,32000,Spanish,Wikipedia.es,1.583,3.679,1550.9699404239657,2912972152,499999897,791734685
Llama-3,32000,Code,c++,3.183,3.487,315.5556514263153,554859434,49992022,159129978
Llama-3,32000,Code,javascript,4.995,3.241,479.95121693611145,809294040,49999987,249730996
Llama-3,32000,Code,python,3.005,3.933,304.8378586769104,590864751,49999990,150227829
Llama-3,32000,Code,tex,3.282,2.955,304.19984126091003,484856401,49995100,164097218
Llama-3,32000,English,Europarl.en,1.175,5.128,162.92067694664,339370705,56334280,66175779
Llama-3,32000,English,Wikipedia.en,1.533,3.591,1604.0458636283877,2753108852,499999890,766562808
Llama-3,32000,French,Europarl.fr,1.67,3.838,212.87596726417544,338630065,52845204,88235856
Llama-3,32000,French,Wikipedia.fr,1.849,3.053,1848.1175739765167,2823112420,499999927,924671370
Llama-3,32000,German,Europarl.de,1.943,3.73,203.60078811645508,326931605,45108933,87648718
Llama-3,32000,German,Wikipedia.de,2.104,3.116,2082.3649320602417,3278956474,499999919,1052222784
Llama-3,32000,Italian,Wikipedia.it,1.892,3.014,1865.4646096229555,2851639813,499999419,946244540
Llama-3,32000,Spanish,Europarl.es,1.563,3.965,200.1749126911164,324518110,52369273,81853233
Llama-3,32000,Spanish,Wikipedia.es,1.75,3.329,1815.4011189937592,2912972152,499999897,874913925
Lucie-7B,32000,Arabic,Wikipedia.ar,10.523,0.575,1917.603316783905,1655638539,273803280,2881112641
Lucie-7B,32000,Basque,eus,2.941,2.65,2069.443193912506,3896094623,499999531,1470477523
Lucie-7B,32000,Code,c++,4.13,2.687,384.1240298748016,554859434,49992022,206469672
Lucie-7B,32000,Code,javascript,6.722,2.408,613.9432611465454,809294040,49999987,336114143
Lucie-7B,32000,Code,python,4.002,2.953,403.48676657676697,590864751,49999990,200099748
Lucie-7B,32000,Code,tex,3.88,2.499,334.43700408935547,484856401,49995100,193990190
Lucie-7B,32000,English,Europarl.en,1.225,4.919,270.8131256103516,339370705,56334280,68994922
Lucie-7B,32000,English,Wikipedia.en,1.697,3.244,1752.0988945961,2753108852,499999890,848696582
Lucie-7B,32000,French,Europarl.fr,1.356,4.724,288.1275386810303,338630065,52845204,71676409
Lucie-7B,32000,French,Wikipedia.fr,1.735,3.255,1816.2927691936493,2823112420,499999927,867285042
Lucie-7B,32000,German,Europarl.de,1.627,4.455,270.5373783111572,326931605,45108933,73383642
Lucie-7B,32000,German,Wikipedia.de,2.02,3.246,2018.310083150864,3278956474,499999919,1010002037
Lucie-7B,32000,Italian,Wikipedia.it,1.867,3.055,1816.4053149223328,2851639813,499999419,933485193
Lucie-7B,32000,Spanish,Europarl.es,1.4,4.425,264.20822644233704,324518110,52369273,73342997
Lucie-7B,32000,Spanish,Wikipedia.es,1.722,3.383,1828.0622844696045,2912972152,499999897,861054775
Qwen2,32000,Arabic,Wikipedia.ar,2.446,2.472,1702.3520946502686,1655638539,273803280,669785178
Qwen2,32000,Basque,eus,2.844,2.74,2263.1510536670685,3896094623,499999531,1421927320
Qwen2,32000,Code,c++,3.359,3.304,445.196385383606,554859434,49992022,167931227
Qwen2,32000,Code,javascript,5.379,3.009,672.2325916290283,809294040,49999987,268955798
Qwen2,32000,Code,python,3.137,3.767,423.31632804870605,590864751,49999990,156851818
Qwen2,32000,Code,tex,3.559,2.725,414.22881531715393,484856401,49995100,177922518
Qwen2,32000,English,Europarl.en,1.184,5.086,218.92383527755737,339370705,56334280,66720562
Qwen2,32000,English,Wikipedia.en,1.648,3.341,2162.693876028061,2753108852,499999890,824093003
Qwen2,32000,French,Europarl.fr,1.658,3.865,240.6689534187317,338630065,52845204,87614587
Qwen2,32000,French,Wikipedia.fr,1.956,2.887,2306.181022882461,2823112420,499999927,978005368
Qwen2,32000,German,Europarl.de,1.937,3.741,229.47001123428345,326931605,45108933,87397548
Qwen2,32000,German,Wikipedia.de,2.223,2.95,2527.287918806076,3278956474,499999919,1111470770
Qwen2,32000,Italian,Wikipedia.it,2.004,2.846,2282.395319223404,2851639813,499999419,1002041514
Qwen2,32000,Spanish,Europarl.es,1.556,3.982,222.573098897934,324518110,52369273,81504956
Qwen2,32000,Spanish,Wikipedia.es,1.819,3.203,2209.6733751297,2912972152,499999897,909337212
